date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2025-05-14,,-0.7038,amc,1,,15249000.0,ATER,2025
2025-05-14,,-1.0965,,1,,24346716.0,SRFM,2025
2025-05-14,,-0.0408,amc,1,,,USAR,2025
2025-05-14,,0.3182,amc,1,,149230763.0,NVGS,2025
2025-05-14,,0.2448,amc,1,,182070000.0,DESP,2025
2025-05-14,,-0.6792,bmo,1,,0.0,SGMT,2025
2025-05-14,,-0.0391,bmo,1,,48307200.0,KRNT,2025
2025-05-14,,0.9328,amc,3,,14327551553.0,CSCO,2025
2025-05-14,,,,1,,,TREP,2025
2025-05-14,,0.0153,amc,1,,12240000.0,GWRS,2025
2025-05-14,,-0.1285,bmo,1,,191632316.0,GLBE,2025
2025-05-14,,,bmo,3,,,NTWK,2025
2025-05-14,,,,1,,,BCHT,2025
2025-05-14,,0.0,amc,1,,3468000.0,BLGO,2025
2025-05-14,,-0.0153,,1,,2483190.0,MLSS,2025
2025-05-14,,-0.0714,amc,1,,9187476.0,CTSO,2025
2025-05-14,,-0.102,amc,1,,1911480.0,GCTS,2025
2025-05-14,,-0.102,amc,1,,70890000.0,LVLU,2025
2025-05-14,,-0.304,amc,1,,11860968.0,SCPH,2025
2025-05-14,,-0.4151,amc,1,,946181243.0,FIHL,2025
2025-05-14,,0.5352,amc,1,,45983028.0,CCAP,2025
2025-05-14,,0.9883,amc,4,,838966832.0,NXT,2025
2025-05-14,,,,1,,,GBR,2025
2025-05-14,,-0.3536,bmo,1,,7631130.0,SPRY,2025
2025-05-14,,-0.952,amc,1,,10667160.0,EDRY,2025
2025-05-14,,0.2958,,1,,,SWKH,2025
2025-05-14,,0.3856,bmo,1,,365315040.0,TSEM,2025
2025-05-14,,-0.119,bmo,1,,7624836.0,DRIO,2025
2025-05-14,,,,1,,,MDLM,2025
2025-05-14,,-0.3702,amc,3,,0.0,TBN,2025
2025-05-14,,-0.0765,amc,1,,11123100.0,REKR,2025
2025-05-14,,-0.0969,bmo,1,,11475000.0,INVZ,2025
2025-05-14,,,amc,1,,,DYAI,2025
2025-05-14,,,,1,,,VPRB,2025
2025-05-14,,,,1,,,IOR,2025
2025-05-14,,-0.051,amc,1,,0.0,SDST,2025
2025-05-14,,,,1,,,NBRI,2025
2025-05-14,,-0.1683,amc,1,,5127203.0,ZSPC,2025
2025-05-14,,-0.154,bmo,1,,15525318.0,EDAP,2025
2025-05-14,,,,1,,,KBSR,2025
2025-05-14,,0.1224,,1,,15733500.0,BMTX,2025
2025-05-14,,1.1303,amc,2,,350163297.0,JACK,2025
2025-05-14,,,,1,,,PGNT,2025
2025-05-14,,,,1,,,RAFI,2025
2025-05-14,,-0.8789,amc,1,,0.0,CELC,2025
2025-05-14,,,bmo,1,,,CAAS,2025
2025-05-14,,,,3,,,SSY,2025
2025-05-14,,,,1,,,KAYS,2025
2025-05-14,,,,1,,,SHMN,2025
2025-05-14,,0.0689,,1,,43075875.0,KMDA,2025
2025-05-14,,-0.7548,,1,,2907000.0,LMFA,2025
2025-05-14,,,,3,,,POCI,2025
2025-05-14,,,,1,,,RBTK,2025
2025-05-14,,,,4,,,ECIA,2025
2025-05-14,,0.1275,bmo,1,,1042061916.0,ARCO,2025
2025-05-14,,,amc,1,,,BZAI,2025
2025-05-14,,0.0,,1,,5145900.0,QMCI,2025
2025-05-14,,-0.1428,,1,,510000.0,DVLT,2025
2025-05-14,,-0.5202,amc,1,,2379996.0,AEVA,2025
2025-05-14,,,,1,,,ZDPY,2025
2025-05-14,,0.0085,amc,1,,83706942.0,IBTA,2025
2025-05-14,,-0.0013,amc,1,,,LAR,2025
2025-05-14,,-0.0612,,1,,51000.0,CDIO,2025
2025-05-14,,-0.2244,,1,,9216342.0,TLSI,2025
2025-05-14,,-0.0354,amc,1,,0.0,TMC,2025
2025-05-14,,1.2639,amc,4,,467802671.0,BOOT,2025
2025-05-14,,0.3105,bmo,4,,447820516.0,DT,2025
2025-05-14,,2.6204,amc,4,,1483750771.0,STE,2025
2025-05-14,,,,1,,,VKSC,2025
2025-05-14,,-0.8466,,1,,0.0,ELTX,2025
2025-05-14,,,,1,,,SLAMF,2025
2025-05-14,,-0.3978,,1,,0.0,GHRS,2025
2025-05-14,,0.1205,amc,1,,212182820.0,DLO,2025
2025-05-14,,-0.6562,bmo,1,,0.0,CABA,2025
2025-05-14,,0.1428,amc,1,,11947260.0,EPSN,2025
2025-05-14,,,,1,,,SLNH,2025
2025-05-14,,0.7494,amc,4,,235302443.0,HWKN,2025
2025-05-14,,,,1,,,LPA,2025
2025-05-14,,-0.0269,amc,1,,16466363.0,FVR,2025
2025-05-14,,,,1,,,BLBX,2025
2025-05-14,,,amc,1,,,ICCC,2025
2025-05-14,,,,1,,,TETAA,2025
2025-05-14,,,,2,,,CSPI,2025
2025-05-14,,0.204,bmo,1,,16554090.0,RDCM,2025
2025-05-14,,-0.0867,bmo,1,,6879390.0,SPCB,2025
2025-05-14,,-0.6724,,1,,1756440.0,CRVO,2025
2025-05-14,,0.0078,bmo,1,,80818047.0,RSKD,2025
2025-05-14,,-0.3468,amc,1,,68003.0,COCH,2025
2025-05-14,,7.0329,amc,4,,1205936310.0,KARO,2025
2025-05-14,,-0.2419,amc,1,,9855535.0,CDXS,2025
2025-05-14,,,,1,,,GMER,2025
2025-05-14,,0.0863,bmo,1,,111543507.0,CLBT,2025
2025-05-14,,0.6172,amc,4,,53763863.0,CSWC,2025
2025-05-14,,-0.3934,bmo,2,,1242788.0,LDTC,2025
2025-05-14,,0.324,bmo,3,,202618920.0,DAVA,2025
2025-05-14,,0.1424,amc,3,,162558236.0,IREN,2025
2025-05-14,,-1.632,,2,,5244840.0,YCBD,2025
2025-05-14,,-0.0255,,1,,4386000.0,AISP,2025
2025-05-14,,-0.1581,bmo,1,,5610000.0,SOWG,2025
2025-05-14,,0.3162,bmo,1,,11811600.0,LIEN,2025
2025-05-14,,,,1,,,STCB,2025
2025-05-14,,,,1,,,MSPR,2025
2025-05-14,,,,1,,,SJ,2025
2025-05-14,,-0.153,,1,,0.0,TLPH,2025
2025-05-14,,-0.8126,bmo,1,,0.0,PYPD,2025
2025-05-14,,,,1,,,SCND,2025
2025-05-14,,0.307,bmo,4,,261046560.0,MMYT,2025
2025-05-14,,-0.2805,amc,1,,176524005.0,SBLK,2025
2025-05-14,,,,1,,,HWNI,2025
2025-05-14,,,,1,,,SEBC,2025
2025-05-14,,0.2511,bmo,1,,7758630.0,AFCG,2025
2025-05-14,,0.1173,amc,2,,14513070.0,ISSC,2025
2025-05-14,,0.017,amc,1,,22431503.0,USIO,2025
2025-05-14,,-0.1734,,3,,14013780.0,AYTU,2025
2025-05-14,,-0.2516,bmo,1,,0.0,PDSB,2025
2025-05-14,,-0.2423,,1,,12295590.0,DERM,2025
2025-05-14,,0.3542,amc,4,,341358285.0,TGI,2025
2025-05-14,,,bmo,1,,,UHG,2025
2025-05-14,,-0.7677,amc,4,,0.0,REPL,2025
2025-05-14,,-0.0808,,1,,0.0,AIM,2025
2025-05-14,,-0.6743,bmo,1,,0.0,SRRK,2025
2025-05-14,,-0.61,bmo,2,,716652.0,OTLK,2025
2025-05-14,,-0.5151,bmo,1,,23944500.0,SMTI,2025
2025-05-14,,0.0459,amc,3,,21666840.0,EGAN,2025
2025-05-14,,0.425,amc,3,,1253401836.0,CPRT,2025
2025-05-14,,-0.3902,,1,,0.0,LVTX,2025
2025-05-14,,,,1,,,ARL,2025
2025-05-14,,-0.0816,,1,,667080.0,NEON,2025
2025-05-14,,0.2941,bmo,1,,218855280.0,SDHC,2025
2025-05-14,,9.0092,amc,1,,1556574963.0,DDS,2026
2025-05-14,,,,1,,,SBET,2025
2025-05-14,,0.7713,amc,4,,3160304150.0,DXC,2025
2025-05-14,,0.0522,bmo,1,,50694132.0,EWCZ,2025
2025-05-13,,-0.0816,amc,1,,1122000.0,HYLN,2025
2025-05-13,,-0.1156,amc,1,,7581996.0,PXLW,2025
2025-05-13,,,,1,,,ATXI,2025
2025-05-13,,0.102,bmo,1,,30429660.0,MIGI,2025
2025-05-13,,-2.0402,amc,1,,148924500.0,FAT,2025
2025-05-13,,,,1,,,NNUP,2025
2025-05-13,,,amc,2,,,OPXS,2025
2025-05-13,,,,1,,,IQST,2025
2025-05-13,,-0.561,amc,1,,0.0,SPRO,2025
2025-05-13,,,,1,,,IWSH,2025
2025-05-13,,,,1,,,RBCN,2025
2025-05-13,,-0.458,amc,1,,13826569.0,VYGR,2025
2025-05-13,,-0.2591,,1,,0.0,NVCT,2025
2025-05-13,,,,4,,,EBZT,2025
2025-05-13,,-0.0051,amc,1,,58570103.0,GENK,2025
2025-05-13,,0.0128,amc,1,,97083600.0,KRMN,2025
2025-05-13,,-0.1218,bmo,1,,6297775.0,ADAP,2025
2025-05-13,,-0.0505,,1,,12120000.0,QXO,2025
2025-05-13,,,,1,,,CRKN,2025
2025-05-13,,-4.1718,amc,1,,35904000.0,GRAL,2025
2025-05-13,,,,1,,,EQS,2025
2025-05-13,,,,1,,,KVAC,2025
2025-05-13,,,,1,,,MTEM,2025
2025-05-13,,,,1,,,VS,2025
2025-05-13,,,,1,,,TAIT,2025
2025-05-13,,-0.0918,amc,1,,4544100.0,INLX,2025
2025-05-13,,-0.1666,bmo,1,,0.0,CLRB,2025
2025-05-13,,,,1,,,TNLX,2025
2025-05-13,,-0.7386,,3,,156682.0,IXHL,2025
2025-05-13,,-0.8137,,1,,0.0,NTBLQ,2025
2025-05-13,,-0.2955,amc,1,,1856.0,ALLO,2025
2025-05-13,,,,1,,,CNXX,2025
2025-05-13,,,,1,,,HBUV,2025
2025-05-13,,0.1284,amc,1,,3233839500.0,NU,2025
2025-05-13,,,,1,,,AGRI,2025
2025-05-13,,-0.4872,bmo,2,,0.0,PRLD,2025
2025-05-13,,-0.4777,bmo,1,,0.0,PRLD,2025
2025-05-13,,,,1,,,AEI,2025
2025-05-13,,,,1,,,MDIA,2025
2025-05-13,,,,1,,,OGEN,2025
2025-05-13,,,,1,,,POLA,2025
2025-05-13,,-0.4835,,1,,23600148.0,SHIP,2025
2025-05-13,,-0.0255,bmo,1,,34614720.0,BWEN,2025
2025-05-13,,-0.408,,1,,0.0,ZVSA,2025
2025-05-13,,-0.0034,bmo,4,,105870175.0,AIOT,2025
2025-05-13,,,,1,,,RILY,2025
2025-05-13,,-0.1632,bmo,1,,32997000.0,HSON,2025
2025-05-13,,,,1,,,RSLS,2025
2025-05-13,,,,1,,,NURO,2025
2025-05-13,,-0.3208,bmo,1,,27445650.0,GAUZ,2025
2025-05-13,,,,1,,,SHWZ,2025
2025-05-13,,,,1,,,BTTC,2025
2025-05-13,,,,1,,,LCTC,2025
2025-05-13,,-0.2094,bmo,1,,19997273.0,YMAB,2025
2025-05-13,,,,1,,,MHLD,2025
2025-05-13,,-0.1262,,1,,63361995.0,TTCFQ,2025
2025-05-13,,,,3,,,INTV,2025
2025-05-13,,,,1,,,OCLN,2025
2025-05-13,,-0.7272,,1,,1622060.0,IVF,2025
2025-05-13,,,,1,,,TTNP,2025
2025-05-13,,,,1,,,DHCC,2025
2025-05-13,,-0.2142,amc,1,,84697740.0,FTHM,2025
2025-05-13,,-0.1964,bmo,1,,4061385.0,NNOX,2025
2025-05-13,,0.4185,bmo,1,,412649160.0,PSFE,2025
2025-05-13,,,,1,,,CNSP,2025
2025-05-13,,-6.63,,1,,0.0,TRVN,2025
2025-05-13,,,,3,,,SGLY,2025
2025-05-13,,1.3381,bmo,1,,7342729037.0,TME,2025
2025-05-13,,-0.969,bmo,1,,57885.0,CLNN,2025
2025-05-13,,-0.1811,bmo,1,,0.0,ATAI,2025
2025-05-13,,,,1,,,CATV,2025
2025-05-13,,,,1,,,HUSA,2025
2025-05-13,,-0.1836,amc,1,,0.0,DMAC,2025
2025-05-13,,-0.2389,bmo,1,,128017.0,OCX,2025
2025-05-13,,,,1,,,TPHS,2025
2025-05-13,,-1.1322,bmo,1,,73236000.0,KPLT,2025
2025-05-13,,,,1,,,PAYD,2025
2025-05-13,,,,1,,,KANT,2025
2025-05-13,,,,1,,,SPRU,2025
2025-05-13,,-0.0818,bmo,4,,1175531293.0,UAA,2025
2025-05-13,,,,1,,,AAMCF,2025
2025-05-13,,,,1,,,DQWS,2025
2025-05-13,,-0.0995,amc,1,,1440750.0,LXRX,2025
2025-05-13,,-0.1887,,1,,153000.0,CYTH,2025
2025-05-13,,,,2,,,BANT,2025
2025-05-13,,-0.0768,,1,,102646300.0,LIF,2025
2025-05-13,,-0.1734,amc,1,,9180000.0,IZEA,2025
2025-05-13,,-0.5661,,1,,0.0,MBRX,2025
2025-05-13,,-0.1938,bmo,2,,,EPIX,2025
2025-05-13,,-0.3111,,1,,58438860.0,FLNT,2025
2025-05-13,,,,3,,,ALDS,2025
2025-05-13,,0.1151,bmo,1,,634113350.0,IGT,2025
2025-05-13,,,,2,,,CVM,2025
2025-05-13,,-0.0255,amc,1,,1903656.0,LCTX,2025
2025-05-13,,,,1,,,GPFT,2025
2025-05-13,,,,1,,,CFOO,2025
2025-05-13,,,,1,,,TNFA,2025
2025-05-13,,-0.102,amc,4,,30090.0,LOOP,2025
2025-05-13,,,,1,,,TGLO,2025
2025-05-13,,,,1,,,PXHI,2025
2025-05-13,,,,1,,,LTUM,2025
2025-05-13,,-0.3672,amc,2,,22644000.0,ALCO,2025
2025-05-13,,-0.0918,bmo,1,,88536612.0,PERI,2025
2025-05-13,,,,3,,,CVAT,2024
2025-05-13,,,,1,,,CNFN,2025
2025-05-13,,,,1,,,TCRT,2025
2025-05-13,,,,1,,,PKTX,2025
2025-05-13,,,,1,,,AYRO,2025
2025-05-13,,-0.4157,bmo,1,,0.0,INZY,2025
2025-05-13,,-0.0918,,1,,1530000.0,POAI,2025
2025-05-13,,-0.5202,,1,,0.0,OLMA,2025
2025-05-13,,-0.153,bmo,2,,0.0,AVXL,2025
2025-05-13,,-0.1632,amc,1,,8364000.0,CLPT,2025
2025-05-13,,0.0,amc,3,,13129440.0,BNET,2025
2025-05-13,,0.3945,,1,,660111003.0,CINT,2025
2025-05-13,,-0.3724,bmo,1,,0.0,ALT,2025
2025-05-13,,,,1,,,WHLT,2025
2025-05-13,,,,2,,,REGX,2025
2025-05-13,,0.3295,bmo,1,,202806477.0,FLOC,2025
2025-05-13,,,,4,,,VCIG,2024
2025-05-13,,0.1734,,1,,,OPHC,2025
2025-05-13,,-0.6528,,1,,0.0,GTBP,2025
2025-05-13,,,,1,,,PNBK,2025
2025-05-13,,0.2733,bmo,1,,2847925795.0,VG,2025
2025-05-13,,,,1,,,AURX,2025
2025-05-13,,-0.1199,bmo,1,,1305600.0,ACRS,2025
2025-05-13,,,,1,,,CMCT,2025
2025-05-13,,,,1,,,QPRC,2025
2025-05-13,,-3.0906,,1,,3897420.0,EDBL,2025
2025-05-13,,-1.2355,,1,,0.0,PVLA,2025
2025-05-13,,,,1,,,XWEL,2025
2025-05-13,,,,1,,,BCTF,2025
2025-05-13,,,,1,,,SNAX,2025
2025-05-13,,,,1,,,KWIK,2025
2025-05-13,,-0.8333,amc,1,,123595922.0,AKA,2025
2025-05-13,,-1.0914,,1,,0.0,NERV,2025
2025-05-13,,-0.5968,bmo,1,,0.0,COGT,2025
2025-05-13,,-0.153,amc,1,,0.0,BEAT,2025
2025-05-13,,-0.0934,amc,1,,16059000.0,AIP,2025
2025-05-13,,-9.792,amc,1,,408000.0,EYEN,2025
2025-05-13,,,,1,,,GLTK,2025
2025-05-13,,,,1,,,VHC,2025
2025-05-13,,,,1,,,MOBQ,2025
2025-05-13,,-0.5467,bmo,1,,0.0,ABOS,2025
2025-05-13,,-0.391,amc,1,,232741896.0,SLND,2025
2025-05-13,,-0.1093,amc,1,,27451402.0,SSTI,2025
2025-05-13,,-0.6681,amc,1,,2379996.0,RPTX,2025
2025-05-13,,-0.1326,amc,1,,25919220.0,SONM,2025
2025-05-13,,-0.0306,amc,1,,10043940.0,REED,2025
2025-05-13,,-0.905,amc,1,,1919000.0,RNA,2025
2025-05-13,,-0.0918,bmo,1,,181038331.0,SLAB,2025
2025-05-13,,0.3605,amc,1,,25750000.0,ARTNA,2025
2025-05-13,,-0.1046,amc,1,,19880820.0,GEVO,2025
2025-05-13,,-0.102,,1,,25296000.0,GIFT,2025
2025-05-13,,0.0544,amc,1,,15433620.0,ETON,2025
2025-05-13,,,,1,,,RPMT,2025
2025-05-13,,-0.0782,amc,1,,4113996.0,QUIK,2025
2025-05-13,,-0.2346,bmo,1,,197066274.0,LEGN,2025
2025-05-13,,,,1,,,FBAK,2025
2025-05-13,,,,3,,,GFLT,2025
2025-05-13,,,,1,,,QURT,2025
2025-05-13,,-2.9088,amc,1,,31411000.0,ULY,2025
2025-05-13,,,,1,,,NVFY,2025
2025-05-13,,,,3,,,RENB,2025
2025-05-13,,,,4,,,LBSR,2025
2025-05-13,,-0.4023,amc,1,,573750.0,JANX,2025
2025-05-13,,-0.1107,amc,1,,0.0,OKLO,2025
2025-05-13,,,,1,,,AKTX,2025
2025-05-13,,,,1,,,MHTX,2025
2025-05-13,,0.2184,bmo,1,,693634792.0,ONON,2025
2025-05-13,,-0.0918,bmo,1,,65764500.0,LUNR,2025
2025-05-13,,-2.5296,,1,,2040000.0,SYTA,2025
2025-05-13,,-0.024,,1,,67327670.0,TH,2025
2025-05-13,,,,1,,,CVU,2025
2025-05-13,,1.0016,bmo,1,,1155825617.0,LSTR,2025
2025-05-13,,,,1,,,GEDC,2025
2025-05-13,,,,1,,,VYCO,2025
2025-05-13,,-0.204,,1,,7717320.0,VISL,2025
2025-05-13,,-0.2278,,1,,0.0,SNSE,2025
2025-05-13,,0.1938,,1,,49470000.0,LWAY,2025
2025-05-13,,,,1,,,CEOS,2025
2025-05-13,,-0.6834,amc,1,,23149777.0,SPIR,2025
2025-05-13,,-1.0922,amc,1,,7973340.0,MRUS,2025
2025-05-13,,-0.0408,amc,1,,36025380.0,VLDX,2025
2025-05-13,,-0.153,amc,1,,10200000.0,DLPN,2025
2025-05-13,,-0.0808,bmo,1,,5831740.0,IPM,2025
2025-05-13,,,,1,,,PBLA,2025
2025-05-13,,-0.2372,amc,1,,12422580.0,SURG,2025
2025-05-13,,,,1,,,MCVT,2025
2025-05-13,,,,4,,,SNRG,2024
2025-05-13,,,,1,,,GOGY,2025
2025-05-13,,-0.0102,bmo,1,,1402511220.0,HUYA,2025
2025-05-13,,-0.1549,amc,1,,1280346.0,CUE,2025
2025-05-13,,-0.1017,amc,1,,9741000.0,VXRT,2025
2025-05-13,,-0.1199,amc,1,,2871300.0,HYPR,2025
2025-05-13,,,,2,,,VPLM,2025
2025-05-13,,,,1,,,EFSH,2025
2025-05-13,,,,3,,,NXEN,2025
2025-05-13,,,,1,,,CIPI,2025
2025-05-13,,0.2387,amc,4,,25883724.0,GAIN,2025
2025-05-13,,,,1,,,ENSV,2025
2025-05-13,,-0.408,bmo,1,,,ENVB,2025
2025-05-13,,-1.1201,amc,1,,10268336.0,XOS,2025
2025-05-13,,-0.8874,bmo,1,,4794000.0,XXII,2025
2025-05-13,,,,1,,,WDDD,2025
2025-05-13,,0.1326,bmo,1,,6033300.0,ACCS,2025
2025-05-13,,,,1,,,EVTV,2025
2025-05-13,,,,1,,,SOBR,2025
2025-05-13,,-0.4182,amc,1,,,GNPX,2025
2025-05-13,,,,2,,,DJCO,2025
2025-05-13,,,,1,,,LQMT,2025
2025-05-13,,,,1,,,VASO,2025
2025-05-13,,,,1,,,BYSD,2025
2025-05-13,,0.5535,amc,1,,85792763.0,DDI,2025
2025-05-13,,,,1,,,ICCT,2025
2025-05-13,,0.0306,,1,,15725850.0,FLGC,2025
